,idx,n_trials,n_blocks,n_sp,nll,bic,alpha_pos,alpha_pos_hat,alpha_neg,alpha_neg_hat,beta,beta_hat,condition
0,0,100,2,5,72.1956537133322,160.28625952630853,0.1270485564631045,0.31003177348640387,0.6625146644355809,0.4897305854067306,20.0,6.706846826612372,highcarb
1,1,100,2,5,51.64176863983832,119.17848937932075,0.34198519409685474,1.0,0.8825119347625195,0.9241015120957884,20.0,20.0,highcarb
2,2,100,2,5,59.27610303920016,134.44715817804442,0.41914289718621284,0.9443384417430795,0.7493365385899514,0.830271648603383,9.396773000252121,6.079408439629151,highcarb
3,3,100,2,5,127.1020915134522,270.0991351265485,1.0,0.5974557558299742,0.9678878801617884,1.0,0.6542554800615167,1.0534155151121167,highcarb
4,4,100,2,5,59.22103377069761,134.33701964103932,1.0,1.0,0.8464180236875722,0.6495589309103212,20.0,4.502699088507617,highcarb
5,5,100,2,5,65.7369637711864,147.3688796420169,0.716223534565701,1.0,0.7549141273915662,0.6488068780178856,4.376633765550858,4.155644825723529,highcarb
6,6,100,2,5,67.12936455404616,150.15368120773644,0.522692469527768,1.0,0.7519003778217047,0.7286954866987799,8.711364471889837,3.6702696866758906,highcarb
7,7,100,2,5,79.39701737852211,174.68898685668833,0.2077387371854358,0.6990466665721324,0.8336865630923154,0.7281911390170837,13.260720017613087,4.024059594567653,highcarb
8,8,100,2,5,60.80416215078645,137.50327640121702,1.0,1.0,0.7028099123506474,0.7885196714076764,4.077576963878313,4.018871285553551,highcarb
9,9,100,2,5,62.70019111208047,141.29533432380504,0.48666543629792164,0.7622232340388574,0.802495286425237,0.7672599806753695,6.626665350654126,5.0036336301334225,highcarb
10,10,100,2,5,68.34802012149751,152.59099234263914,0.32914910534823333,0.6225713291992873,0.7809899942173911,0.5017062254963472,7.86567784942528,5.540714490075188,highcarb
11,11,100,2,5,37.500162512160756,90.89527712396563,0.16601918946205313,0.3546315707617133,0.42879180831433317,0.5251180125291337,20.0,10.88513227191404,highcarb
12,12,100,2,5,128.80130755143836,273.4975672025208,1.0,0.8912809621573928,0.6917090190385919,0.8392687453553717,1.0051218885812947,0.899861707586809,highcarb
13,13,100,2,5,51.556025890676366,119.00700388099685,0.7036845017754857,1.0,0.7694518731911126,0.8705778970848271,3.821082015665818,4.61409418151908,highcarb
14,14,100,2,5,78.63153170429928,173.15801550824267,1.0,1.0,1.0,1.0,3.072693302179666,2.953172593167905,highcarb
15,15,100,2,5,86.83994389915144,189.574839897947,0.569868158496998,1.0,0.7011770425020305,0.7960070177023384,6.013758237731749,2.5787699510631903,highcarb
16,16,100,2,5,104.60100450690612,225.09696111345636,0.8467676276664713,0.9858908473264933,1.0,1.0,2.2246716418491497,1.9802625137540495,highcarb
17,17,100,2,5,108.7216726009208,233.3382973014857,1.0,1.0,0.8559120659213146,0.8997074458086778,1.8680145761400238,1.7185529455048754,highcarb
18,18,100,2,5,70.74684784224723,157.38864778413858,1.0,1.0,0.9020964648716829,0.720164774892711,4.298666937652262,4.004631303268985,highcarb
19,0,100,2,5,56.87681954081374,129.6485911812716,0.3411327356587729,0.98647459834619,0.7127810284927736,0.5121353206579563,12.456661034930638,4.323023102311435,highpro
20,1,100,2,5,82.52221193855195,180.939375976748,1.0,0.9456825117142327,0.6934623094475875,0.5197479016055727,2.48927495656041,3.251065796200527,highpro
21,2,100,2,5,42.64972321733124,101.1943985343066,0.2304953139731404,0.5730645565564093,0.7103915748974072,0.611741465866946,13.219945741567736,7.892767560970842,highpro
22,3,100,2,5,135.8925795762459,287.68011125213593,1.0,0.2936065144086573,0.18929100326846832,0.7998585869482894,0.9969181564599582,0.7090127517222915,highpro
23,4,100,2,5,53.851412425283115,123.59777695021035,1.0,1.0,0.8411637613850731,0.6125445618085544,20.0,5.284912137349639,highpro
24,5,100,2,5,68.18723200991755,152.26941611947922,0.7689994417489522,1.0,0.9330973221603936,0.6829028565864586,20.0,4.2542367742016625,highpro
25,6,100,2,5,62.50763721925892,140.91022653816194,0.9463103601537284,0.895177224626039,0.6144280612211925,0.6985959703644524,5.058796890121954,4.689241261911893,highpro
26,7,100,2,5,53.19919197757052,122.29333605478516,0.623664770785153,1.0,0.9203017176445253,0.6604236038385929,20.0,5.162485390552914,highpro
27,8,100,2,5,64.77009387300367,145.43513984565146,1.0,1.0,0.7405212547035198,0.8021302292885951,5.545661037165406,4.385073337462712,highpro
28,9,100,2,5,48.247121795880766,112.38919569140563,1.0,1.0,0.7882452315333447,0.8990596836763247,5.444987321092353,13.30761071808032,highpro
29,10,100,2,5,63.50760475103494,142.91016160171398,0.5431487822429764,0.48036949447338856,0.8468263334553293,0.6977481408858034,4.622936614139304,5.4148378105812505,highpro
30,11,100,2,5,42.32223236779102,100.53941683522615,0.1524828527858307,0.47576031497188376,0.357979838305653,0.2592744230659983,20.0,8.408403923588986,highpro
31,12,100,2,5,72.38475760452287,160.66446730868986,0.7274942049718096,0.8324831503142233,0.8143620973874132,0.8891271042055505,4.0162250465440215,3.6079554793742434,highpro
32,13,100,2,5,134.03902385349397,283.97299980663206,1.0,0.1881722463567325,0.34678782427243887,0.19476775116122522,0.5711294365775517,1.2712534137792209,highpro
33,14,100,2,5,56.00561642402846,127.90618494770104,0.3715668154766322,1.0,0.9572022669103876,0.9667303918159882,20.0,20.0,highpro
34,15,100,2,5,63.55430694116143,143.00356598196697,0.42993337875299337,0.6448606070076577,0.9881062270987665,0.9870052707424326,20.0,18.55340895877167,highpro
35,16,100,2,5,61.48182496178366,138.85860202321143,1.0,0.7984292475300931,0.9348128008453099,0.7422155751542667,20.0,5.338693029463755,highpro
36,17,100,2,5,87.34984799360097,190.59464808684606,1.0,0.978496809815996,0.9441340255448539,0.9620084350049972,2.2080140753878674,2.430183747507029,highpro
37,18,100,2,5,93.3158997733197,202.52675164628351,0.9954065191471161,1.0,0.8371622996169559,0.8355177228706165,1.9099504452127742,2.292505338652003,highpro
38,19,100,2,5,81.9461312648993,179.7872146294427,0.7616865526503055,0.7534611650141462,0.654118536914156,0.5017940572906756,3.345662189155267,4.112420827033464,highpro
